year,GEOID,state,county,borough,tract,median_income,race_total,white_alone,black_alone,asian_alone,pct_white,pct_black,pct_asian,eth_total,hispanic_any,pct_hispanic,pop_total,under5,age65plus,pct_under5,pct_65plus,hh_total,owner_occ,renter_occ,pct_owner,pct_renter
2020,36005000100,36,005,Bronx,000100,-666666666,6600,2560,3441,171,38.788,52.136,2.591,6600,2315,35.076,6600,0,73,0.0,1.106,0,0,0,,
2020,36005000200,36,005,Bronx,000200,68000,4167,1272,1394,115,30.526,33.453,2.76,4167,2943,70.626,4167,175,772,4.2,18.527,1340,776,564,57.91,42.09
2020,36005000400,36,005,Bronx,000400,93155,5684,2185,1348,173,38.441,23.716,3.044,5684,4148,72.977,5684,99,801,1.742,14.092,2110,1549,561,73.412,26.588
2020,36005001600,36,005,Bronx,001600,34766,5917,1334,2353,76,22.545,39.767,1.284,5917,3335,56.363,5917,342,1146,5.78,19.368,2153,259,1894,12.03,87.97
2020,36005001901,36,005,Bronx,001901,61711,1910,624,778,0,32.67,40.733,0.0,1910,1029,53.874,1910,177,16,9.267,0.838,784,8,776,1.02,98.98
2020,36005001902,36,005,Bronx,001902,53882,1334,239,440,59,17.916,32.984,4.423,1334,640,47.976,1334,128,81,9.595,6.072,329,60,269,18.237,81.763
2020,36005001903,36,005,Bronx,001903,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005001904,36,005,Bronx,001904,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005002001,36,005,Bronx,002001,16534,4837,1122,2638,0,23.196,54.538,0.0,4837,2687,55.551,4837,529,519,10.937,10.73,1654,0,1654,0.0,100.0
2020,36005002002,36,005,Bronx,002002,48711,4768,991,1801,0,20.784,37.773,0.0,4768,3326,69.757,4768,346,665,7.257,13.947,1865,576,1289,30.885,69.115
2020,36005002300,36,005,Bronx,002300,24474,4517,721,1608,0,15.962,35.599,0.0,4517,3222,71.331,4517,189,563,4.184,12.464,1874,0,1874,0.0,100.0
2020,36005002400,36,005,Bronx,002400,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005002500,36,005,Bronx,002500,27196,5694,1051,1666,6,18.458,29.259,0.105,5694,4144,72.778,5694,483,399,8.483,7.007,1932,68,1864,3.52,96.48
2020,36005002701,36,005,Bronx,002701,17907,2672,327,873,0,12.238,32.672,0.0,2672,1971,73.765,2672,292,366,10.928,13.698,1027,2,1025,0.195,99.805
2020,36005002702,36,005,Bronx,002702,14013,4504,475,2089,0,10.546,46.381,0.0,4504,2468,54.796,4504,508,263,11.279,5.839,1470,16,1454,1.088,98.912
2020,36005002800,36,005,Bronx,002800,52068,5030,1014,3238,0,20.159,64.374,0.0,5030,1825,36.282,5030,448,903,8.907,17.952,2401,324,2077,13.494,86.506
2020,36005003100,36,005,Bronx,003100,42228,1858,339,609,136,18.245,32.777,7.32,1858,1235,66.469,1858,130,115,6.997,6.189,687,104,583,15.138,84.862
2020,36005003300,36,005,Bronx,003300,22159,3140,385,1422,0,12.261,45.287,0.0,3140,1759,56.019,3140,91,177,2.898,5.637,1208,104,1104,8.609,91.391
2020,36005003500,36,005,Bronx,003500,29068,3738,561,1627,0,15.008,43.526,0.0,3738,2722,72.82,3738,237,282,6.34,7.544,1374,67,1307,4.876,95.124
2020,36005003700,36,005,Bronx,003700,-666666666,222,15,154,0,6.757,69.369,0.0,222,146,65.766,222,0,9,0.0,4.054,145,0,145,0.0,100.0
2020,36005003800,36,005,Bronx,003800,51442,1169,716,300,0,61.249,25.663,0.0,1169,878,75.107,1169,68,218,5.817,18.648,333,145,188,43.544,56.456
2020,36005003900,36,005,Bronx,003900,21642,6736,1153,1286,8,17.117,19.091,0.119,6736,5299,78.667,6736,602,748,8.937,11.105,2241,53,2188,2.365,97.635
2020,36005004001,36,005,Bronx,004001,61450,1425,291,158,258,20.421,11.088,18.105,1425,878,61.614,1425,50,272,3.509,19.088,489,201,288,41.104,58.896
2020,36005004100,36,005,Bronx,004100,22917,5865,1069,2366,35,18.227,40.341,0.597,5865,3501,59.693,5865,654,616,11.151,10.503,2254,277,1977,12.289,87.711
2020,36005004200,36,005,Bronx,004200,61587,7789,1790,3327,14,22.981,42.714,0.18,7789,5327,68.391,7789,761,979,9.77,12.569,2875,436,2439,15.165,84.835
2020,36005004300,36,005,Bronx,004300,26276,5421,1186,1702,88,21.878,31.396,1.623,5421,4071,75.097,5421,370,526,6.825,9.703,2129,167,1962,7.844,92.156
2020,36005004400,36,005,Bronx,004400,15580,4401,412,1688,114,9.362,38.355,2.59,4401,2654,60.304,4401,425,619,9.657,14.065,1599,54,1545,3.377,96.623
2020,36005004600,36,005,Bronx,004600,22596,1854,597,596,0,32.201,32.147,0.0,1854,1226,66.127,1854,157,233,8.468,12.567,697,181,516,25.968,74.032
2020,36005004800,36,005,Bronx,004800,32217,4757,398,938,145,8.367,19.718,3.048,4757,3813,80.156,4757,500,316,10.511,6.643,1455,126,1329,8.66,91.34
2020,36005005001,36,005,Bronx,005001,29806,4465,243,1275,113,5.442,28.555,2.531,4465,2949,66.047,4465,345,547,7.727,12.251,1379,171,1208,12.4,87.6
2020,36005005002,36,005,Bronx,005002,33071,6291,368,1810,63,5.85,28.771,1.001,6291,4482,71.245,6291,657,484,10.443,7.694,1994,147,1847,7.372,92.628
2020,36005005100,36,005,Bronx,005100,20439,5858,935,1882,39,15.961,32.127,0.666,5858,4225,72.124,5858,350,684,5.975,11.676,2151,0,2151,0.0,100.0
2020,36005005200,36,005,Bronx,005200,19245,1879,198,677,0,10.538,36.03,0.0,1879,1316,70.037,1879,161,257,8.568,13.677,828,66,762,7.971,92.029
2020,36005005300,36,005,Bronx,005300,18015,5142,479,3023,0,9.315,58.79,0.0,5142,2395,46.577,5142,655,281,12.738,5.465,1786,0,1786,0.0,100.0
2020,36005005400,36,005,Bronx,005400,38005,5354,258,1515,154,4.819,28.297,2.876,5354,3721,69.499,5354,642,615,11.991,11.487,1713,281,1432,16.404,83.596
2020,36005005600,36,005,Bronx,005600,33625,2113,329,394,40,15.57,18.646,1.893,2113,1506,71.273,2113,104,542,4.922,25.651,886,189,697,21.332,78.668
2020,36005005902,36,005,Bronx,005902,31653,2635,554,732,15,21.025,27.78,0.569,2635,1638,62.163,2635,126,472,4.782,17.913,1109,312,797,28.133,71.867
2020,36005006000,36,005,Bronx,006000,38871,1266,341,189,31,26.935,14.929,2.449,1266,1127,89.021,1266,64,191,5.055,15.087,370,56,314,15.135,84.865
2020,36005006100,36,005,Bronx,006100,51799,3985,423,3305,0,10.615,82.936,0.0,3985,672,16.863,3985,170,939,4.266,23.563,2071,854,1217,41.236,58.764
2020,36005006200,36,005,Bronx,006200,28614,6995,762,1351,119,10.893,19.314,1.701,6995,5590,79.914,6995,215,850,3.074,12.152,2506,86,2420,3.432,96.568
2020,36005006301,36,005,Bronx,006301,48111,4741,1487,1291,116,31.365,27.231,2.447,4741,2848,60.072,4741,423,342,8.922,7.214,1941,329,1612,16.95,83.05
2020,36005006302,36,005,Bronx,006302,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005006400,36,005,Bronx,006400,33207,3949,625,1242,204,15.827,31.451,5.166,3949,2215,56.09,3949,279,635,7.065,16.08,1389,345,1044,24.838,75.162
2020,36005006500,36,005,Bronx,006500,22409,5394,1593,2001,89,29.533,37.097,1.65,5394,3444,63.849,5394,742,276,13.756,5.117,1921,55,1866,2.863,97.137
2020,36005006700,36,005,Bronx,006700,17894,6682,380,1477,0,5.687,22.104,0.0,6682,5379,80.5,6682,405,621,6.061,9.294,2468,100,2368,4.052,95.948
2020,36005006800,36,005,Bronx,006800,41875,3147,103,651,693,3.273,20.686,22.021,3147,1685,53.543,3147,212,586,6.737,18.621,978,251,727,25.665,74.335
2020,36005006900,36,005,Bronx,006900,33721,7370,982,2445,27,13.324,33.175,0.366,7370,5054,68.575,7370,576,934,7.815,12.673,2844,233,2611,8.193,91.807
2020,36005007000,36,005,Bronx,007000,50643,4469,842,976,624,18.841,21.839,13.963,4469,2159,48.311,4469,361,524,8.078,11.725,1285,321,964,24.981,75.019
2020,36005007100,36,005,Bronx,007100,44000,2877,399,1191,70,13.869,41.397,2.433,2877,1694,58.881,2877,309,218,10.74,7.577,1074,373,701,34.73,65.27
2020,36005007200,36,005,Bronx,007200,44720,6448,687,1140,2305,10.654,17.68,35.748,6448,2743,42.54,6448,562,843,8.716,13.074,1729,400,1329,23.135,76.865
2020,36005007300,36,005,Bronx,007300,20895,4229,1133,1219,0,26.791,28.825,0.0,4229,2990,70.702,4229,360,269,8.513,6.361,1434,20,1414,1.395,98.605
2020,36005007400,36,005,Bronx,007400,40625,3494,1171,1182,0,33.515,33.829,0.0,3494,2346,67.144,3494,152,613,4.35,17.544,1330,566,764,42.556,57.444
2020,36005007500,36,005,Bronx,007500,27530,6345,1152,2265,45,18.156,35.697,0.709,6345,4454,70.197,6345,446,674,7.029,10.623,2235,413,1822,18.479,81.521
2020,36005007600,36,005,Bronx,007600,49494,5136,641,1402,497,12.481,27.298,9.677,5136,3057,59.521,5136,456,658,8.879,12.812,1780,468,1312,26.292,73.708
2020,36005007700,36,005,Bronx,007700,48177,2037,446,690,29,21.895,33.873,1.424,2037,1602,78.645,2037,166,172,8.149,8.444,575,173,402,30.087,69.913
2020,36005007800,36,005,Bronx,007800,61795,7160,1746,2266,653,24.385,31.648,9.12,7160,4146,57.905,7160,491,614,6.858,8.575,2211,519,1692,23.474,76.526
