median_income,race_total,white_alone,black_alone,asian_alone,eth_total,hispanic_any,pop_total,male_under5,female_under5,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,hh_total,owner_occ,renter_occ,year,state,county,tract,GEOID,borough,pct_white,pct_black,pct_asian,pct_hispanic,under5,age65plus,pct_under5,pct_65plus,pct_renter,pct_owner
,3538,1393,1610,79,3538,866,3538,0,0,6,26,5,7,39,0,0,0,0,0,0,0,0,0,0,2023,36,5,100,36005000100,Bronx,39.373,45.506,2.233,24.477,0,83,0.0,2.346,,
121171.0,5177,782,1671,311,5177,3198,5177,72,189,21,51,37,63,53,0,68,120,59,74,83,86,1446,864,582,2023,36,5,200,36005000200,Bronx,15.105,32.277,6.007,61.773,261,715,5.042,13.811,40.249,59.751
98242.0,6481,532,2767,19,6481,3483,6481,39,217,22,312,94,28,39,28,38,185,27,34,0,58,2246,1376,870,2023,36,5,400,36005000400,Bronx,8.209,42.694,0.293,53.742,256,865,3.95,13.347,38.736,61.264
42957.0,6011,260,2357,282,6011,3299,6011,193,39,15,180,140,44,15,78,76,173,131,232,121,38,2149,496,1653,2023,36,5,1600,36005001600,Bronx,4.325,39.211,4.691,54.883,232,1243,3.86,20.679,76.919,23.081
67361.0,2401,513,1154,12,2401,1085,2401,77,131,0,0,0,0,4,0,0,0,31,0,0,0,1092,0,1092,2023,36,5,1901,36005001901,Bronx,21.366,48.063,0.5,45.19,208,35,8.663,1.458,100.0,0.0
76429.0,1979,115,423,23,1979,961,1979,77,45,13,7,10,0,0,7,0,24,0,0,0,9,566,111,455,2023,36,5,1902,36005001902,Bronx,5.811,21.374,1.162,48.56,122,70,6.165,3.537,80.389,19.611
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,36,5,1903,36005001903,Bronx,,,,,0,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,36,5,1904,36005001904,Bronx,,,,,0,0,,,,
23208.0,4300,626,1775,0,4300,2142,4300,131,73,25,5,10,75,33,11,19,29,28,191,93,88,1726,0,1726,2023,36,5,2001,36005002001,Bronx,14.558,41.279,0.0,49.814,204,607,4.744,14.116,100.0,0.0
18029.0,3689,596,1069,0,3689,2730,3689,113,108,216,0,119,21,231,52,40,19,127,236,143,0,1832,413,1419,2023,36,5,2002,36005002002,Bronx,16.156,28.978,0.0,74.004,221,1204,5.991,32.638,77.456,22.544
18750.0,4527,456,1695,0,4527,3179,4527,153,74,0,56,21,19,14,16,37,88,151,72,69,55,1917,0,1917,2023,36,5,2300,36005002300,Bronx,10.073,37.442,0.0,70.223,227,598,5.014,13.21,100.0,0.0
