GEOID,state,county,borough,tract,median_income_2020,pct_white_2020,pct_black_2020,pct_asian_2020,pct_hispanic_2020,pct_under5_2020,pct_65plus_2020,pct_owner_2020,pct_renter_2020,pop_total_2020,hh_total_2020,median_income_2021,pct_white_2021,pct_black_2021,pct_asian_2021,pct_hispanic_2021,pct_under5_2021,pct_65plus_2021,pct_owner_2021,pct_renter_2021,pop_total_2021,hh_total_2021,median_income_2022,pct_white_2022,pct_black_2022,pct_asian_2022,pct_hispanic_2022,pct_under5_2022,pct_65plus_2022,pct_owner_2022,pct_renter_2022,pop_total_2022,hh_total_2022,median_income_2023,pct_white_2023,pct_black_2023,pct_asian_2023,pct_hispanic_2023,pct_under5_2023,pct_65plus_2023,pct_owner_2023,pct_renter_2023,pop_total_2023,hh_total_2023
36005000100,36,005,Bronx,000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,39.373,45.506,2.233,24.477,0.0,2.346,,,3538,0
36005000200,36,005,Bronx,000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121171,15.105,32.277,6.007,61.773,5.042,13.811,59.751,40.249,5177,1446
36005000400,36,005,Bronx,000400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98242,8.209,42.694,0.293,53.742,3.95,13.347,61.264,38.736,6481,2246
36005001600,36,005,Bronx,001600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42957,4.325,39.211,4.691,54.883,3.86,20.679,23.081,76.919,6011,2149
36005001901,36,005,Bronx,001901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67361,21.366,48.063,0.5,45.19,8.663,1.458,0.0,100.0,2401,1092
36005001902,36,005,Bronx,001902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76429,5.811,21.374,1.162,48.56,6.165,3.537,19.611,80.389,1979,566
36005001903,36,005,Bronx,001903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005001904,36,005,Bronx,001904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005002001,36,005,Bronx,002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23208,14.558,41.279,0.0,49.814,4.744,14.116,0.0,100.0,4300,1726
36005002002,36,005,Bronx,002002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18029,16.156,28.978,0.0,74.004,5.991,32.638,22.544,77.456,3689,1832
36005002300,36,005,Bronx,002300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18750,10.073,37.442,0.0,70.223,5.014,13.21,0.0,100.0,4527,1917
36005002400,36,005,Bronx,002400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005002500,36,005,Bronx,002500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27207,19.341,28.205,0.0,70.238,8.059,9.048,8.303,91.697,5460,1903
36005002701,36,005,Bronx,002701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18788,5.3,32.014,0.954,76.89,6.184,17.208,2.314,97.686,2830,1167
36005002702,36,005,Bronx,002702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31379,4.558,36.016,0.0,69.298,9.077,7.525,8.554,91.446,5156,1508
36005002800,36,005,Bronx,002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66235,10.904,64.834,0.0,39.557,7.399,16.605,12.367,87.633,5420,2717
36005003100,36,005,Bronx,003100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43480,14.881,39.871,12.988,52.897,6.588,6.664,10.326,89.674,2641,1104
36005003300,36,005,Bronx,003300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37957,7.69,40.945,0.0,62.724,8.659,12.797,14.531,85.469,3407,1225
36005003500,36,005,Bronx,003500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34508,8.189,39.416,0.68,77.614,5.242,10.626,4.922,95.078,3529,1483
36005003700,36,005,Bronx,003700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,8.421,41.053,0.0,70.526,10.877,8.772,0.0,100.0,285,158
36005003800,36,005,Bronx,003800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42614,2.798,11.934,3.786,85.35,15.309,16.379,44.828,55.172,1215,377
36005003900,36,005,Bronx,003900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28508,14.261,3.782,1.781,90.923,1.623,12.732,4.002,95.998,6346,2299
36005004001,36,005,Bronx,004001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76050,10.305,15.385,28.81,51.597,1.524,23.44,48.126,51.874,1378,507
36005004100,36,005,Bronx,004100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21819,11.894,38.776,1.084,64.397,7.143,9.71,5.087,94.913,6272,2359
36005004200,36,005,Bronx,004200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52974,13.616,50.038,0.226,69.371,10.206,12.362,11.914,88.086,7976,2837
36005004300,36,005,Bronx,004300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29704,12.617,33.366,0.0,65.8,5.892,12.894,11.053,88.947,5041,2099
36005004400,36,005,Bronx,004400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,11.867,38.839,3.262,64.053,7.888,14.619,3.422,96.578,4323,1578
36005004600,36,005,Bronx,004600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21346,24.608,31.783,0.0,67.489,11.211,11.491,16.869,83.131,1784,658
36005004800,36,005,Bronx,004800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45118,10.486,21.817,3.141,78.691,9.036,9.423,3.657,96.343,4139,1504
36005005001,36,005,Bronx,005001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35164,1.74,31.782,1.457,67.675,8.875,8.636,11.392,88.608,4597,1343
36005005002,36,005,Bronx,005002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36066,1.878,25.213,0.0,70.653,10.524,7.305,6.568,93.432,6338,1888
36005005100,36,005,Bronx,005100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25468,9.581,48.065,0.0,59.691,9.654,18.764,7.669,92.331,6795,2621
36005005200,36,005,Bronx,005200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35147,6.659,36.71,0.0,69.67,4.365,13.486,11.168,88.832,1787,788
36005005300,36,005,Bronx,005300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22352,11.249,50.5,0.0,46.214,3.873,8.377,0.0,100.0,4596,1595
36005005400,36,005,Bronx,005400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58452,1.734,31.549,2.507,64.361,12.1,11.346,16.863,83.137,5306,1702
36005005600,36,005,Bronx,005600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47628,2.292,16.239,4.228,71.0,3.319,16.081,12.976,87.024,2531,1025
36005005902,36,005,Bronx,005902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46902,26.117,23.029,2.037,49.474,6.932,16.064,29.938,70.062,3044,1286
36005006000,36,005,Bronx,006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53371,4.344,21.639,0.0,84.672,3.443,14.262,10.649,89.351,1220,385
36005006100,36,005,Bronx,006100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75608,8.501,82.086,0.782,17.001,3.677,22.269,41.186,58.814,3835,1940
36005006200,36,005,Bronx,006200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27243,4.27,40.928,0.387,69.207,5.978,16.226,2.009,97.991,6206,2489
36005006301,36,005,Bronx,006301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58118,24.84,48.719,1.602,43.113,7.111,9.257,16.486,83.514,6244,2584
36005006302,36,005,Bronx,006302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005006400,36,005,Bronx,006400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40778,6.213,33.793,1.534,54.328,5.199,12.581,19.261,80.739,3847,1407
36005006500,36,005,Bronx,006500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24184,25.569,37.129,1.332,67.812,16.577,8.356,4.877,95.123,5182,2153
36005006700,36,005,Bronx,006700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,2.02,31.348,0.0,82.247,4.905,17.617,4.74,95.26,5892,2595
36005006800,36,005,Bronx,006800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33996,11.828,14.804,12.743,65.013,10.645,20.374,19.956,80.044,2621,917
36005006900,36,005,Bronx,006900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32199,9.733,37.584,0.582,65.251,6.131,12.83,5.742,94.258,6524,2804
36005007000,36,005,Bronx,007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43672,10.926,23.566,9.164,52.821,7.046,15.782,25.637,74.363,4201,1373
36005007100,36,005,Bronx,007100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34853,12.451,32.67,3.084,66.003,4.45,14.871,33.189,66.811,2562,1386
36005007200,36,005,Bronx,007200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64464,8.862,15.174,47.533,33.718,5.958,14.411,36.229,63.771,5371,1623
36005007300,36,005,Bronx,007300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31442,9.199,46.147,1.581,52.843,6.652,9.221,4.704,95.296,4555,1552
36005007400,36,005,Bronx,007400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52641,8.686,46.937,0.0,61.353,3.109,22.402,35.29,64.71,3281,1380
36005007500,36,005,Bronx,007500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35892,17.744,33.074,0.932,64.344,10.897,12.105,16.047,83.953,6543,2449
36005007600,36,005,Bronx,007600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53650,5.097,26.669,10.683,60.711,6.545,13.541,22.74,77.26,5317,1825
36005007700,36,005,Bronx,007700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44447,15.782,26.102,0.0,82.816,4.91,10.12,21.489,78.511,1996,591
36005007800,36,005,Bronx,007800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58513,14.988,22.482,4.541,56.282,8.399,7.87,22.615,77.385,5858,1981
36005007900,36,005,Bronx,007900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36514,2.347,30.342,0.0,74.395,3.349,11.865,0.0,100.0,6987,2290
